text,class
"So what we have here is a lie, based on a distortion, which is itself a fallback position from a fallback position from a fallback position from an evidence-free made-up graph about the magnetic age of the earth. And creationists say the truth is constant...",notsarc
Oh what a shame! Especially if it's true! Where did you get the idea that ID theory is not based on evidence and/or testing?,sarc
"Because the Iliad and Odyssey do not claim to be divine does not mean they should be placed under a different threshold as the Bible. Otherwise, it's special pleading on your part, and thus logically fallacious.   This is one of many inconsistencies between skeptics in regards to the scrutiny of the Bible. They are unwilling to put the standards they have on the Bible against other books similar in age. If they did, there would not be a single book left standing.",notsarc
"Yep when about 99.99% of a cows diet is grass...I guess we should be eating that instead.   It is hard to urinate in one corner of the toilet. If all ground that is being used for livestock is ""wonderfully transformed"" into grain production there will be many many wild species that will go extinct due to lack of uncultivated land.",sarc
"So in order to discuss an article you made up a bunch of stuff that wasn't in the article, implied it was in the article, and failed to discuss anything that was actually in the article. I see.   Will this be a one time thing, or is this the sort of thing we should expect from you on a regular basis? Just wondering.",sarc
"I think you present a good point, but part of the test here is to see how my post is reponded to; silence from certain people tells us things in inself.   So far it seems my initial estimation of the issue is about right- the idelogy being upheld helps some people ignore the effect the punitive policy imposes.",notsarc
"Math is confusing too, doesn't mean we should get rid of it.",sarc
That is amazing.   I find it crazy that this baby is much younger and smaller and far less developed than many of the babies that are aborted. Abortion is murder.,notsarc
Please explain this statement.,notsarc
"Well I ####,moan,and bitch about it to and I know I can't prove anything,but do'nt logic say an AK47 ASSAULT RIFLE not semi auto but the real deal is going to cost hundreds less south of their border,Know doubt the same for an M16.Also you don't have to worry about smuggling them in as much if at all.Besides it getting harder all the time to get your ASSAULT RIFLES(you know the full auto type)not to mention hand grenades and rpgs at your corner gun shop anymore.Oh yeah less not forget the gun shows,and all there loop holes.   Jus a thought.",notsarc
"Target shooting and handgun hunting, for starters. There's also self-defense, although not many people seem to have a great desire to defend themselves.   If there's no legal use for a handgun, then why do all those cops carry them?",sarc
But we have an enumerated Constitutional RKBA. Apples to oranges.,notsarc
