class,id,text
sarc,765,"oh really? ever voluntarily flown in a plane by any chance? taken medication for anything, or received a vaccination?"
notsarc,102,"...i usually go to the one on morena. and heres why i'm telling you: it's a big ass world out there and you don't know what i look like. also, it's a fantastic costco and i'm proud to shop there."
sarc,774,"accountable by trial? by following the advice given to them? when people screw up, they are culpable for trial. how about holding the advisors accountable? oh wait!! how about holding the people who put the advisors in power accountable? oh shit!!! hold the government accountable! hold the people who put government accountable. hold every citizen accountable. when you're done acting hysterical, let's get back on topic. nice work, captain hindsight. you put yourself at trial. 'i shouldn't have acted like i know more about drilling for oil than oil companies'. apparently you are easily influenced by television. to recap: when an oil company screws up by cost-cutting, which leads to a major environmental disaster and the loss of eleven lives, we hold them accountable by trial. committees like the one which found bp et al culpable are instrumental in building a case against bp."
sarc,671,oh do go on. i am so impressed by your 'intellectuall' argument. pfft.
sarc,760,"let's all listen to one religious book and base our laws off of that, regardless of any other beliefs that may exist, especially when regarding something that has little to no effect on anyone but those directly involved. that makes sense. lets all listen to one scientific theory and base our laws to teach that the earth is round. that doesn't make sense"
notsarc,245,"is it that this has already been discussed a lot elsewhere? if that's the case, let me know. otherwise, i'm very surprised people aren't talking about this. simone? anyone?"
sarc,874,"that explains your excellent use of grammar, word choice and spelling? rotflmao"
notsarc,50,"sartre! you are a dear prince! i can't believe i said that, but thanks!"
notsarc,372,"oh yeah, and robert a. heinlein for his amazing sci-fi work; most notably starship troopers and puppet master"
notsarc,243,"well... like i said, considering how many people are sharing earth, i would think we would get a long a lot less than we do. i'm not saying we do get a long very well, but i'm saying i'm surprised we get along as well as we do.. you understand?"
sarc,814,"oh yeah, there's a whole section of the country (the grain belt or maybe the midwest) that eats these things 2 or 3 times a day. sometimes even for desert.... ...okay i was kidding about that last part, but still."
notsarc,169,"you'd be surprised. i'm sure something else will come up in the future that makes bs's nationalization seem quaint. still, it is pretty horrific what the fed did to the public. nationalization of debt while almost giving away revenue generating assets. seriously.  what is disturbing is that the american public just sat there while their government saddled them with additional debt that has no rational future revenues. but given the peanut gallery here, i'm not surprised the rest of the nation is as ignorant.  but as i spoke to symbiote, the next crisis will be much worse. we haven't solved ****. it's a poor quality band-aid, if that."
sarc,756,"see you know, lets all sign a petition to ban the doctor!!!!!!!!!!!!!!!!!!! you know prodigee was right all along!"
notsarc,329,"i love that you guys dont seem to be joking when you talk about it being offensive to gays - if anything i would think only tom cruise would find it offensive - because of his claims that he isnt gay (obviously untrue) gays would probably cheer if he (along with his penis) would come out of the closet if someone would find this offensive, it wouldnt be me vs gay guys - it would be me vs overly sensitive and selfrighteous guys who happen to be gay"
sarc,533,yeah that would be fantastic if they came back... and killed tens of millions more people. that would be fantastic!!!! thanks for that... just because ;)
sarc,850,"oh yes... when someone disagrees with you, bring on the irrelavent rhetoric."
sarc,909,you mean to tell me i have groupies out there? like a rock star? wow! that's news to me ;)
