text,class
states slow to shut down weak teacher education programs,notsarc
drone places fresh kill on steps of white house,sarc
report: majority of instances of people getting lives back on track occur immediately after visit to buffalo wild wings,sarc
"sole remaining lung filled with rich, satisfying flavor",sarc
the gop's stockholm syndrome,notsarc
trump's game plan,notsarc
lea michele romances fake gosling in 'on my way' video,notsarc
report: that whole side of family just like that,sarc
new extended paternity leave offers dads more time to lose colleagues' respect,sarc
nation hopeful there will be equally random chance of justice for future victims of police abuse,sarc
sean spicer finally calls it quits after 6 months of humiliations,notsarc
band targeted in paris attacks makes emotional return to finish concert,notsarc
eighth-grader drinks at twelfth-grade level,sarc
perfect party dresses for your body type,notsarc
the 20 funniest tweets from women this week,notsarc
doctors discover purpose of appendix is to contain human soul,sarc
"to all the meat-loving feminists of the world, riot grill has arrived",notsarc
massive filament snakes across sun's surface,notsarc
reclaiming the sacred: five uniting religious principles,notsarc
2 gop senators drop endorsements of roy moore,notsarc
track winnings reinvested in blackjack futures,sarc
6 things you need to know about the nation's strictest medical weed law,notsarc
this hotel offers the ultimate in sweet dreams: a 10-pound doughnut,notsarc
butterball releases new travel-size turkey,sarc
nobody wins when the final score is 161-2,notsarc
swiss threaten ricola embargo,sarc
"disgusting, unusable shopping cart has single sprig of parsley in it",sarc
robin hood foundation,notsarc
new musical shines light on 'paris is burning' star and the mummified man found in her closet,notsarc
"your favorite 'game of thrones' actor, peter dinklage, might be in 'avengers'",notsarc
dude with knit hat at party calls beer 'libations',sarc
class clown has nothing on wilmot proviso,sarc
sharper image vows 'we will be undersold',sarc
"i was, but now i am",notsarc
mom sentenced for encouraging boyfriend's sex assault on baby,notsarc
this time ben carson didn't say he'd violate muslims' civil rights,notsarc
david lynch finally releases colorized edition of 'eraserhead',sarc
ahmad khan rahami identified as suspect in manhattan explosion,notsarc
mit researchers discover each other,sarc
brad pitt goes completely gray for new movie,notsarc
magna carta: awesome tale,notsarc
huffpollster: texas and massachusetts are the states to watch on super tuesday,notsarc
"bye bye american airlines, bye",notsarc
airbnb host decides handwritten note necessary to protect cocktail sauce in fridge,sarc
"no, drake and serena williams are still not engaged",notsarc
joe walsh executed to keep 'eagles greatest hits' sales ahead of 'thriller',sarc
deadly stabbing attack at maryland prayer center,notsarc
cruz super pac aims to take out rubio in florida,notsarc
most long island politician ever attacks opponent for not loving billy joel enough,notsarc
"'just take it slow, and you'll be fine,' drunk driver assures self while speeding away in stolen police car",sarc
"move over rosé, blue wine is now on the market",notsarc
3 simple tips to practice daily gratitude,notsarc
report: election day most americans' only time in 2016 being in same room with person supporting other candidate,sarc
your sunday is open again because these puppies already decided the super bowl,notsarc
the funniest tweets from parents this week,notsarc
white male privilege squandered on job at best buy,sarc
gisele bundchen dons a nude bodysuit,notsarc
rest in peace leelah alcorn,notsarc
virginia alcohol agents involved in bloody arrest return to duty,notsarc
what i learned from being diagnosed with narcolepsy,notsarc
7 things you should know if you love someone who gets migraines,notsarc
charlize theron meets the kill club in new 'dark places' clip,notsarc
pathetic 4-year-old needs father to stand on merry-go-round platform for entire ride,sarc
airline part of something called 'star alliance',sarc
a message to my serbian friends in response to the incident in belgrade,notsarc
hillary clinton calls for michigan gov. rick snyder to resign or be recalled,notsarc
lisa frank is now fighting the patriarchy (with rainbow kittens),notsarc
carrie fisher calls controversy over princess leia bikini toys 'stupid',notsarc
man who threatened to move to canada before election still here,sarc
house democrats on record-breaking fundraising pace,notsarc
responsibilities track man down inside dream,sarc
trophy son half father's age,sarc
u.s. weighs bigger role in war in yemen,notsarc
'minotaurs the new vampires' says publishing executive desperate to find new vampires,sarc
"huffpost hill - america nostalgic for bush v. gore, somehow",notsarc
how the russians won world war iii - a short history,notsarc
"outside the rnc, this crisis center is addressing one of our nation's biggest problems",notsarc
facebook addresses accusations of silencing conservative voices by deleting barack obama's profile,sarc
caitlyn jenner isn't threatening your womanhood,notsarc
weird relative at family reunion knows how everyone related to each other,sarc
trump postpones grand opening of trump tower moscow until fuss over bombshell report dies down,sarc
new study finds americans are living too long,sarc
"someone recut the 'elf' trailer as a thriller, and it's terrifying",notsarc
here's what reagan and bush had to say about immigration,notsarc
surgeon general mills recommends three to five servings of froot per day,sarc
"kim kardashian is back on the town, and her look is... interesting",notsarc
the women of iraq: what women's roles look like on the ground,notsarc
the presidency and moral courage,notsarc
the fallen served for our freedom,notsarc
trump spends entire classified national security briefing asking about ​egyptian ​mummies,sarc
imaginary brain tumor spreading rapidly,sarc
is your outdated career map leading you astray?,notsarc
librarian who amassed millions by living humbly leaves entire fortune to college,notsarc
anonymous source: 'i'm a cowardly snitch',sarc
new film takes an honest look at life with a transgender parent,notsarc
senator trying to make long-distance relationship work with constituency back home,sarc
barbara bush calls white house to see if she can leave husband there for few hours,sarc
tony randall secedes from union; declares himself independent nation of randalia,sarc
meek coworker taken down a notch,sarc
why did wikileaks name 'country x' when glenn greenwald wouldn't?,notsarc
